,sector_x,year,cluster_name,subcluster_name,topic_name,size
0,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Store Performance,0.007106369720989149
1,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Product Launch,0.0033104317934373735
2,Communication Services,2014,Operational Leverage,Profitability Drivers,Gross Margin,0.0045328237374611755
3,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Marketing Spend,0.07943754096509927
4,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Land Development,0.0017257087587117693
5,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Recurring Revenue,0.001989010108219781
6,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Raw Material Inflation,0.002132274110189392
7,Communication Services,2014,Operational Leverage,Production Drivers,Natural Gas Markets,0.001253995587452932
8,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Air Fleet Mix,0.0019119544332560346
9,Communication Services,2014,Revenue Momentum,Channel Performance,Brand Performance,0.015604600366436735
10,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Device Revenue,0.011711311955427902
11,Communication Services,2014,Revenue Momentum,Top-line Growth,Revenue Performance,0.00499741362085096
12,Communication Services,2014,Operational Leverage,Revenue Expansion,Organic Growth,0.017899358947838867
13,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Digital Transformation,0.01731300454705584
14,Communication Services,2014,Operational Leverage,Production Drivers,Fuel Costs,0.002833138528996276
15,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Contract Revenue,0.024312115645177556
16,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,AI Implementation,0.0010434133465705333
17,Communication Services,2014,Operational Leverage,Production Drivers,Oil Production Volumes,0.001473648900378324
18,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Real Estate Ratio,0.00390000044132978
19,Communication Services,2014,Revenue Mix Effects,Capital Management,Executive Leadership,0.0025779178068516123
20,Communication Services,2014,Topline Resilience,Expense Ratio,Fund Fees,0.003429630041586284
21,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Pandemic Impact,0.0007389265149411093
22,Communication Services,2014,Operational Leverage,Production Drivers,Profit Drivers,0.001438066548797852
23,Communication Services,2014,Revenue Mix Effects,Capital Management,Capital Markets,0.01115375189003224
24,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Digital Revenue Mix,0.04531034181867127
25,Communication Services,2014,Operational Leverage,Production Drivers,Revenue Recovery,0.014405422887082443
26,Communication Services,2014,Revenue Mix Effects,Revenue Drivers,Credit Assessment,0.012833560012448023
